Id,clave_unica,Happy,Engage,WearingGlasses,LeftEyeClosed,RightEyeClosed,MouthOpen,MouthMoved,LookingAway,Fecha,nombrePC,Resource_Id,No_Usuarios
263,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:50",MCC-05,NULL,4
264,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:51",MCC-05,NULL,4
265,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Maybe,No,No,No,No,Yes,Maybe,"2015-12-16 12:27:51",MCC-05,NULL,3
266,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Maybe,No,No,No,Maybe,Yes,Maybe,"2015-12-16 12:27:51",MCC-05,NULL,3
267,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:52",MCC-05,NULL,3
268,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:52",MCC-05,NULL,3
269,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Maybe,Yes,No,No,Maybe,Yes,Maybe,"2015-12-16 12:27:53",MCC-05,NULL,3
270,5753C815-44AB-4D8B-B910-84F33AB20BE4,Maybe,No,No,Yes,Maybe,Yes,Yes,Yes,"2015-12-16 12:27:53",MCC-05,NULL,3
271,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:54",MCC-05,NULL,4
272,5753C815-44AB-4D8B-B910-84F33AB20BE4,Yes,No,Yes,Yes,Yes,Yes,Yes,No,"2015-12-16 12:27:54",MCC-05,NULL,4
273,5753C815-44AB-4D8B-B910-84F33AB20BE4,Yes,No,Yes,Yes,Yes,Yes,Yes,No,"2015-12-16 12:27:54",MCC-05,NULL,4
274,5753C815-44AB-4D8B-B910-84F33AB20BE4,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,No,"2015-12-16 12:27:54",MCC-05,NULL,4
275,5753C815-44AB-4D8B-B910-84F33AB20BE4,Yes,Yes,Yes,Yes,No,Yes,Yes,No,"2015-12-16 12:27:55",MCC-05,NULL,4
276,5753C815-44AB-4D8B-B910-84F33AB20BE4,Yes,Yes,Yes,Yes,No,Yes,Yes,No,"2015-12-16 12:27:55",MCC-05,NULL,4
277,5753C815-44AB-4D8B-B910-84F33AB20BE4,Yes,Yes,Maybe,Yes,No,Yes,Yes,No,"2015-12-16 12:27:55",MCC-05,NULL,3
278,5753C815-44AB-4D8B-B910-84F33AB20BE4,Yes,Maybe,Yes,No,No,Yes,Yes,Maybe,"2015-12-16 12:27:56",MCC-05,NULL,4
279,5753C815-44AB-4D8B-B910-84F33AB20BE4,Yes,Yes,Yes,No,No,Yes,Yes,No,"2015-12-16 12:27:56",MCC-05,NULL,4
280,5753C815-44AB-4D8B-B910-84F33AB20BE4,Yes,Yes,No,Yes,No,Yes,Yes,No,"2015-12-16 12:27:56",MCC-05,NULL,3
281,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:57",MCC-05,NULL,4
